,av_corners,av_fouls,av_op_corners,av_op_fouls,av_op_reds,av_op_shots,av_op_shots_on_target,av_op_shots_outside_target,av_op_yellows,av_reds,av_shots,av_shots_on_target,av_shots_outside_target,av_yellows
1,2,1,2,1,1,3,2,2,1,2,3,2,2,1
2,2,1,2,1,1,3,2,2,1,3,3,2,2,1
3,2,1,2,1,1,3,2,2,1,2,3,3,2,1
4,1,1,2,1,1,3,3,2,1,2,3,3,2,1
5,1,1,2,1,1,3,3,2,1,3,3,3,2,1
6,2,1,2,1,1,3,3,2,1,2,3,3,2,1
7,1,1,2,1,1,3,2,2,1,3,3,2,2,1
8,1,1,2,1,1,3,2,2,1,1,2,2,2,1
9,2,1,2,1,2,3,3,2,1,1,3,2,2,1
10,1,1,2,1,2,3,3,2,1,1,3,2,2,1
11,2,1,2,1,1,2,2,2,1,2,3,2,2,1
12,2,1,2,1,1,2,3,3,1,1,2,3,3,1
13,2,1,2,1,1,2,2,3,1,1,3,3,2,1
